Nom du thème (original),Thème parent,Total,Présent dans le(s) législature(s),Commentaire(s),Question(s)
Abattage,abattage,101,10,"Taxe équarrissage et conséquence sur équilibre financier des petits bouchers (charges administratives), mesures pour abattage lors de l’Aïd, condition de transports des animaux sur longue distance, prime contractuels et vacataires vétérinaires en abattoirs, enlèvement cadavre et financement","- https://questions.assemblee-nationale.fr/q10/10-50821QE.htm
- https://questions.assemblee-nationale.fr/q10/10-50751QE.htm
- https://questions.assemblee-nationale.fr/q10/10-50449QE.htm
"
Accidents domestiques,accidents domestiques,5,10,"Lutte et Prévention contre accidents domestiques car trop couteux (demande de stats, de prévention via media ou chez jeunes…)","- https://questions.assemblee-nationale.fr/q10/10-19699QE.htm
- https://questions.assemblee-nationale.fr/q10/10-14820QE.htm
- https://questions.assemblee-nationale.fr/q10/10-12156QE.htm
"
Accidents du travail et maladies professionnelles,accidents du travail et maladies professionnelles,25,8,vide,"- https://questions.assemblee-nationale.fr/q8/8-15004QE.htm
- https://questions.assemblee-nationale.fr/q8/8-14843QE.htm
- https://questions.assemblee-nationale.fr/q8/8-13467QE.htm
"
accidents du travail et maladies professionnelles,accidents du travail et maladies professionnelles,168,"15, 16","Protection sociale des sapeurs pompiers, Sécurité des salariés, travailleurs indépendants et prise en charge, lutte contre les accidents du travail sur les grands chantiers, reconnaissance de maladies professionnelles (covid, irradiés de l’île-Longue), modifier seuils limite de concentrations en poussière, subvention prévention des risques","- https://questions.assemblee-nationale.fr/q16/16-18432QE.htm
- https://questions.assemblee-nationale.fr/q16/16-18431QE.htm
- https://questions.assemblee-nationale.fr/q16/16-18430QE.htm
"
Actes administratifs,actes administratifs,17,"10, 8, 9","Décrets, réglementation, loi no78-753, loi no82-599, attitude de l'administration","- https://questions.assemblee-nationale.fr/q10/10-29448QE.htm
- https://questions.assemblee-nationale.fr/q10/10-29315QE.htm
- https://questions.assemblee-nationale.fr/q10/10-20356QE.htm
"
action humanitaire,action humanitaire,31,"15, 16","Financement de l’aide humanitaire en Ukraine, Aide humanitaire au Mali, Situation sanitaire à Madagascar","- https://questions.assemblee-nationale.fr/q16/16-15247QE.htm
- https://questions.assemblee-nationale.fr/q16/16-14370QE.htm
- https://questions.assemblee-nationale.fr/q16/16-13197QE.htm
"
Administration,administration,652,"10, 8, 9","Rapports avec les administrés , trop perçus, remboursements, accès aux documents administratifs, procédurs administratives","- https://questions.assemblee-nationale.fr/q10/10-48141QE.htm
- https://questions.assemblee-nationale.fr/q10/10-48140QE.htm
- https://questions.assemblee-nationale.fr/q10/10-47765QE.htm
"
administration,administration,2097,"11, 12, 13, 14, 15, 16","Relations entre administrations, nomination membres de cabinets ministériels, directions départementales des territoires, dématérialisation, formation à Internet","- https://questions.assemblee-nationale.fr/q16/16-18435QE.htm
- https://questions.assemblee-nationale.fr/q16/16-18434QE.htm
- https://questions.assemblee-nationale.fr/q16/16-18433QE.htm
"
Administration et regimes penitentiaires,système pénitentiaire,19,8,vide,"- https://questions.assemblee-nationale.fr/q8/8-15235QE.htm
- https://questions.assemblee-nationale.fr/q8/8-14081QE.htm
- https://questions.assemblee-nationale.fr/q8/8-14047QE.htm
"
Adoption,adoption,78,"10, 8, 9","Règlementation de l’adoption d’enfants étrangers, Associations d’adoption habilitées et leur financement","- https://questions.assemblee-nationale.fr/q10/10-50207QE.htm
- https://questions.assemblee-nationale.fr/q10/10-49426QE.htm
- https://questions.assemblee-nationale.fr/q10/10-47458QE.htm
"
