Nom du thème (original),Thème parent,Total,Présent dans le(s) législature(s)
abattage,animaux,101,10
accidents domestiques,santé,5,10
accidents du travail et maladies professionnelles,risques professionnels,193,"15, 16, 8"
actes administratifs,administration,17,"10, 8, 9"
action humanitaire,diplomatie et relations internationales,31,"15, 16"
administration,administration,2749,"10, 11, 12, 13, 14, 15, 16, 8, 9"
adoption,enfants,78,"10, 8, 9"
aéroports,transports,102,10
affaires culturelles,vide,25,8
agriculture,agriculture et agroalimentaire,14223,"10, 11, 12, 13, 14, 15, 16, 8, 9"
agroalimentaire,agriculture et agroalimentaire,3376,"10, 11, 12, 13, 14, 15, 16, 8, 9"
aide aux victimes,délinquance et criminalité,94,"15, 16"
aide sociale,politique sociale,132,"10, 8, 9"
ambassades et consulats,diplomatie et relations internationales,57,"15, 16"
aménagement du territoire,aménagement du territoire,3380,"10, 11, 12, 13, 14, 15, 16, 8, 9"
ameublement,industrie,35,"10, 8, 9"
amnistie,droit et justice,18,"10, 8, 9"
anciens combattants et victimes de guerre,anciens combattants et victimes de guerre,12338,"10, 11, 12, 13, 14, 15, 16, 8, 9"
animaux,animaux,4414,"10, 11, 12, 13, 14, 15, 16, 8, 9"
appareils ménagers,industrie,14,"10, 8, 9"
aquaculture et pêche professionnelle,"aquaculture, pêche et chasse",908,"10, 11, 12, 13, 14, 15, 16"
architecture,architecture et urbanisme,699,"10, 11, 12, 13, 14, 15, 16, 8, 9"
archives et bibliothèques,culture,658,"10, 11, 12, 13, 14, 15, 16, 8, 9"
armée,défense,762,"10, 8, 9"
armement,défense,111,10
armes,armes,488,"10, 11, 12, 13, 14, 15, 16, 8, 9"
arrondissements,collectivités territoriales,31,"10, 8, 9"
articles et machines de bureau,vide,1,8
arts et spectacles,culture,1731,"11, 12, 13, 14, 15, 16"
arts plastiques,culture,33,"10, 8, 9"
ascenceurs,administration,16,"10, 8, 9"
associations,associations,3560,"10, 11, 12, 13, 14, 15, 16, 8, 9"
assurance complémentaire,assurances,196,"15, 16"
assurance invalidité décès,sécurité sociale,329,"10, 11, 12, 13, 14, 15, 16, 8, 9"
assurance maladie maternité,sécurité sociale,13587,"10, 11, 12, 13, 14, 15, 16, 8, 9"
assurance vieillesse,sécurité sociale,655,8
assurances,assurances,2617,"10, 11, 12, 13, 14, 15, 16, 8, 9"
audiovisuel et communication,audiovisuel et communication,3610,"10, 11, 12, 13, 14, 15, 16, 8, 9"
automobiles et cycles,automobiles et cycles,3754,"10, 11, 12, 13, 14, 15, 16, 8, 9"
auxiliaires de justice,droit et justice,92,"8, 9"
aviation légère,transports,38,10
avortement,santé,414,"10, 11, 12, 13, 14, 8, 9"
banques et établissements financiers,banques et activités financières,4535,"10, 11, 12, 13, 14, 15, 16, 8, 9"
bâtiment et travaux publics,bâtiments et travaux publics,1781,"10, 11, 12, 13, 14, 15, 16, 8, 9"
baux,baux,2097,"10, 11, 12, 13, 14, 15, 16, 8, 9"
baux commerciaux,baux,20,10
baux d'habitation,baux,220,10
baux ruraux,baux,50,10
bienfaisance,associations,28,"8, 9"
bijouterie et horlogerie,commerce et artisanat,25,"10, 8, 9"
biodiversité,environnement,180,"15, 16"
bioéthique,santé,512,"10, 11, 12, 13, 14, 15, 16"
blanchisserie et teinturerie,vide,1,8
bois et forêts,bois et forêts,3063,"10, 11, 12, 13, 14, 15, 16, 8, 9"
boissons et alcools,boissons et alcools,553,"10, 15, 16, 8, 9"
boulangerie et pâtisserie,commerce et artisanat,113,"10, 8, 9"
bourses d'études,enseignement,1404,"11, 12, 13, 14"
budget,vide,1,8
bureautique,commerce extérieur,1,8
cadastre,administration,47,"10, 8, 9"
cadres et agents de maitrise,vide,1,8
cantons,collectivités territoriales,26,"10, 8, 9"
caoutchouc,industrie,12,"10, 8, 9"
carburants et combustibles,vide,2,8
catastrophes naturelles,catastrophes et risques naturels,296,"15, 16, 8"
centres de conseils et de soins,établissements de santé,175,10
céramique,industrie,5,"10, 8"
céréales,agriculture et agroalimentaire,12,10
cérémonies publiques et fêtes légales,"symboles, décorations et cérémonies",1079,"10, 11, 12, 13, 14, 15, 16, 8, 9"
chambres consulaires,chambres consulaires,1281,"10, 11, 12, 13, 14, 15, 16, 8, 9"
chantiers navals,industrie,51,"8, 9"
charbon,"énergies, carburants et matières premières",124,"10, 8, 9"
chasse et pêche,"aquaculture, pêche et chasse",2074,"10, 11, 12, 13, 14, 15, 16, 8, 9"
chauffage,logement,82,"10, 8, 9"
chaussures,industrie,19,10
chimie,industrie,89,"10, 8, 9"
chômage,chômage,223,"15, 16"
chômage : indemnisation,chômage,3113,"10, 11, 12, 13, 14, 8, 9"
cimetières,mort,3,8
cinéma,audiovisuel et communication,116,"10, 8, 9"
circulation routière,sécurité routière,884,"8, 9"
climat,environnement,158,"15, 16"
coiffure,services,121,"10, 8, 9"
collectivités locales,collectivités territoriales,657,"8, 9"
collectivités territoriales,collectivités territoriales,3729,"10, 11, 12, 13, 14, 15, 16"
commerce et artisanat,commerce et artisanat,6318,"10, 11, 12, 13, 14, 15, 16, 8, 9"
commerce extérieur,commerce extérieur,1823,"10, 11, 12, 13, 14, 15, 16, 8, 9"
commerce international,commerce extérieur,3,10
commissionnaires et courtiers,vide,1,8
communautés européennes,union européenne,170,8
communautés urbaines et districts,collectivités territoriales,1,8
communes,collectivités territoriales,7186,"10, 11, 12, 13, 14, 15, 16, 8, 9"
comptables,professions libérales,36,"10, 8, 9"
concurrence,consommation,16,10
conditionnement,vide,3,8
conflits du travail,travail,20,"10, 8, 9"
congés et vacances,travail,53,"10, 8, 9"
