Nom du thème (original),Total,Dégage
"animaux, agriculture et agroalimentaire",28533,No
anciens combattants et victimes de guerre,13623,No
banques et activités financières,5266,No
"culture, communication et numérique",26365,No
défense,7110,No
droit et justice,16941,No
"échanges, diplomatie et relations internationales",23216,No
"énergies, carburants et matières premières",14128,No
enseignement et recherche,52955,No
environnement,15732,No
habitat et logement,13772,No
"identités, nationalités et religions",11634,No
impôts et taxes,41049,No
"infrastructures, transports et aménagement du territoire",35355,No
"administration, institutions et fonctionnement de l’état",62833,No
politique économique et sociale,116172,No
sécurité et ordre public,33702,No
"services, commerce et artisanat",20054,No
soins et santé,55275,No
sports,5953,No
système productif et vie professionnelle,37730,No
union européenne,6583,No
